,기준_분기_코드,상권_코드_명,총_생활인구_수,월_평균_소득_금액,cluster
0,1,가락시장역,0.18440140997324572,0.32358059975146325,1
1,2,가락시장역,0.19379982669586185,0.32358059975146325,1
2,3,가락시장역,0.19887016691489443,0.32358059975146325,1
3,4,가락시장역,0.21294913784235253,0.32358059975146325,1
4,1,가로수길,0.26978124996585273,0.3521075768783125,1
5,2,가로수길,0.3159722195121228,0.3521075768783125,1
6,3,가로수길,0.32155597831372357,0.3521075768783125,1
7,4,가로수길,0.31680377341584454,0.3521075768783125,1
8,1,가산디지털단지,0.13036414318337317,0.09559168684693997,2
9,2,가산디지털단지,0.1395060847672968,0.09559168684693997,2
10,3,가산디지털단지,0.1332963580374204,0.09559168684693997,2
11,4,가산디지털단지,0.13703827255330445,0.09559168684693997,2
12,1,강남구청역,0.20506849821864515,0.44403891431936826,1
13,2,강남구청역,0.220161037664381,0.44403891431936826,1
14,3,강남구청역,0.2114120041292029,0.44403891431936826,1
15,4,강남구청역,0.21973800198217974,0.44403891431936826,1
16,1,강남역,0.889044140729454,0.5766130621132811,4
17,2,강남역,1.0,0.5766130621132811,4
18,3,강남역,0.9945737478416985,0.5766130621132811,4
19,4,강남역,0.9850712112666735,0.5766130621132811,4
20,1,강동구청역,0.22333505409471222,0.16473079731406892,2
21,2,강동구청역,0.21487590146796504,0.16473079731406892,2
22,3,강동구청역,0.20544126914451102,0.16473079731406892,2
23,4,강동구청역,0.20923828757029067,0.16473079731406892,2
24,1,강동역 4번(강풀만화거리),0.5795819876713978,0.10774163502658984,0
25,2,강동역 4번(강풀만화거리),0.5575369894751532,0.10774163502658984,0
26,3,강동역 4번(강풀만화거리),0.544667182530843,0.10774163502658984,0
27,4,강동역 4번(강풀만화거리),0.542657841091251,0.10774163502658984,0
28,1,강서구청,0.19707889958896854,0.11520593399206047,2
29,2,강서구청,0.19806218437206285,0.11520593399206047,2
30,3,강서구청,0.19382558348094053,0.11520593399206047,2
31,4,강서구청,0.19088540743877808,0.11520593399206047,2
32,1,건대입구역(건대),0.3441880751080341,0.11152918825186775,0
33,2,건대입구역(건대),0.410476829898601,0.11152918825186775,0
34,3,건대입구역(건대),0.3862542126002505,0.11152918825186775,0
35,4,건대입구역(건대),0.38306099565740603,0.11152918825186775,0
36,1,경의선책거리,0.15628998643319883,0.19564000314174923,2
37,2,경의선책거리,0.16724770331430505,0.19564000314174923,2
38,3,경의선책거리,0.1794258235029571,0.19564000314174923,2
39,4,경의선책거리,0.18200478014710714,0.19564000314174923,2
40,1,경희대학교(경희대),0.09964675740027559,0.20744774395695909,2
41,2,경희대학교(경희대),0.12869104486535368,0.20744774395695909,2
42,3,경희대학교(경희대),0.1234372851162154,0.20744774395695909,2
43,4,경희대학교(경희대),0.13724370242702283,0.20744774395695909,2
44,1,광화문역,0.1051212449924517,0.8568102835693127,3
45,2,광화문역,0.13280292047600412,0.8568102835693127,3
46,3,광화문역,0.13542761492638478,0.8568102835693127,3
47,4,광화문역,0.13925663420635306,0.8568102835693127,3
48,1,교대역(법원.검찰청),0.5406675440624444,0.7316131639292281,3
49,2,교대역(법원.검찰청),0.5843114017170253,0.7316131639292281,3
50,3,교대역(법원.검찰청),0.5836860581956608,0.7316131639292281,3
51,4,교대역(법원.검찰청),0.5966133105757828,0.7316131639292281,3
52,1,구로디지털단지역,0.1535118439844404,0.09138391144075386,2
53,2,구로디지털단지역,0.17047869687526487,0.09138391144075386,2
54,3,구로디지털단지역,0.16307713345402078,0.09138391144075386,2
55,4,구로디지털단지역,0.18624731290388397,0.09138391144075386,2
56,1,구로역,0.044616839723643754,0.31580450597712495,1
57,2,구로역,0.04885703095450431,0.31580450597712495,1
58,3,구로역,0.04647866503051242,0.31580450597712495,1
59,4,구로역,0.04143657922420251,0.31580450597712495,1
60,1,구역삼세무서,0.28813709603019255,0.2806261707181039,1
61,2,구역삼세무서,0.28502146164603964,0.2806261707181039,1
62,3,구역삼세무서,0.27625244708970964,0.2806261707181039,1
63,4,구역삼세무서,0.26290137851874756,0.2806261707181039,1
64,1,구의역,0.1630504400585756,0.1829394554777376,2
65,2,구의역,0.1667637879582815,0.1829394554777376,2
66,3,구의역,0.1589449646187629,0.1829394554777376,2
67,4,구의역,0.16208370205862274,0.1829394554777376,2
68,1,군자역,0.2583610036654247,0.0858229095401013,2
69,2,군자역,0.27032510838533214,0.0858229095401013,2
70,3,군자역,0.26754556102102395,0.0858229095401013,2
71,4,군자역,0.27866281386789016,0.0858229095401013,2
72,1,길동역,0.39440974736652484,0.1456362081837278,0
73,2,길동역,0.4011531859035769,0.1456362081837278,0
74,3,길동역,0.40029337758713246,0.1456362081837278,0
75,4,길동역,0.4118567691719069,0.1456362081837278,0
76,1,노량진역(노량진),0.17379710740376444,0.12569932349253554,2
77,2,노량진역(노량진),0.17004988542913693,0.12569932349253554,2
78,3,노량진역(노량진),0.15890828071274177,0.12569932349253554,2
79,4,노량진역(노량진),0.1587631061059347,0.12569932349253554,2
80,1,노원역,0.5479671730554682,0.08281524002250007,0
81,2,노원역,0.5814911118017746,0.08281524002250007,0
82,3,노원역,0.5754028322160872,0.08281524002250007,0
83,4,노원역,0.5665030044119032,0.08281524002250007,0
84,1,논현역,0.348583899761461,0.2482098244190607,0
85,2,논현역,0.366535754554385,0.2482098244190607,0
86,3,논현역,0.3724000281607517,0.2482098244190607,0
87,4,논현역,0.36178948152216045,0.2482098244190607,0
88,1,당산역,0.11221419529793497,0.3558874608504461,1
89,2,당산역,0.12122797736337626,0.3558874608504461,1
90,3,당산역,0.11670571031047228,0.3558874608504461,1
91,4,당산역,0.12022346274530801,0.3558874608504461,1
92,1,대학로(혜화역),0.3099939916444989,0.2443299756990458,0
93,2,대학로(혜화역),0.36736949388229523,0.2443299756990458,0
94,3,대학로(혜화역),0.36175482693860006,0.2443299756990458,0
95,4,대학로(혜화역),0.38219759700122335,0.2443299756990458,0
96,1,도화동 상점가,0.10244285154772523,0.20433429163736705,2
97,2,도화동 상점가,0.10865694912597862,0.20433429163736705,2
98,3,도화동 상점가,0.10078036814719268,0.20433429163736705,2
99,4,도화동 상점가,0.09643574486046769,0.20433429163736705,2
100,3,둔촌역,0.12376166450647894,0.1787401426957107,2
101,4,둔촌역,0.13365835794407155,0.1787401426957107,2
102,1,등촌역,0.1480916797935211,0.17297603781523607,2
103,2,등촌역,0.14992181644965666,0.17297603781523607,2
104,3,등촌역,0.156661976850426,0.17297603781523607,2
105,4,등촌역,0.17554013929581574,0.17297603781523607,2
106,1,뚝섬역,0.17985104460934684,0.20638251114091244,2
107,2,뚝섬역,0.21055781547495747,0.20638251114091244,2
108,3,뚝섬역,0.2041462492111009,0.20638251114091244,2
109,4,뚝섬역,0.21651153537132467,0.20638251114091244,2
110,1,로데오거리상점가,0.018020071247950582,0.29783809043001497,1
111,2,로데오거리상점가,0.02126620667650212,0.29783809043001497,1
112,3,로데오거리상점가,0.021214849208072525,0.29783809043001497,1
113,4,로데오거리상점가,0.020710328423986034,0.29783809043001497,1
114,1,르네상스호텔사거리,0.17062168605788347,0.44421557159869274,1
115,2,르네상스호텔사거리,0.18926663252201542,0.44421557159869274,1
116,3,르네상스호텔사거리,0.186233575951842,0.44421557159869274,1
117,4,르네상스호텔사거리,0.1858181892543005,0.44421557159869274,1
118,1,망리단길,0.6144911731497535,0.09987774152659923,0
119,2,망리단길,0.6151923821108044,0.09987774152659923,0
120,3,망리단길,0.6093187424007728,0.09987774152659923,0
121,4,망리단길,0.582769741053771,0.09987774152659923,0
122,1,명일역,0.2053686818411075,0.13583728277832186,2
123,2,명일역,0.19143816365673916,0.13583728277832186,2
124,3,명일역,0.18302365612412835,0.13583728277832186,2
125,4,명일역,0.19048485040537277,0.13583728277832186,2
126,1,목동사거리,0.07526163820333781,0.07667772185099808,2
127,2,목동사거리,0.07496083017396446,0.07667772185099808,2
128,3,목동사거리,0.0683230725065988,0.07667772185099808,2
129,4,목동사거리,0.0709463620414297,0.07667772185099808,2
