trdar_nm,year,quarter,sum(is_risky),count(*),average(is_risky)
국회의사당역(국회의사당),2023,2,1,17,0.058823529411764705
군자역,2022,1,11,81,0.13580246913580246
군자역,2022,2,19,86,0.22093023255813954
군자역,2022,3,16,94,0.1702127659574468
군자역,2022,4,17,105,0.1619047619047619
군자역,2023,1,19,106,0.1792452830188679
군자역,2023,2,8,35,0.22857142857142856
길동역,2022,1,10,47,0.2127659574468085
길동역,2022,2,10,48,0.20833333333333334
길동역,2022,3,4,45,0.08888888888888889
길동역,2022,4,10,47,0.2127659574468085
길동역,2023,1,8,47,0.1702127659574468
길동역,2023,2,1,14,0.07142857142857142
노량진역(노량진),2022,1,5,21,0.23809523809523808
노량진역(노량진),2022,2,9,21,0.42857142857142855
노량진역(노량진),2022,3,9,22,0.4090909090909091
노량진역(노량진),2022,4,5,24,0.20833333333333334
노량진역(노량진),2023,1,5,24,0.20833333333333334
노량진역(노량진),2023,2,5,8,0.625
노원역,2022,1,26,140,0.18571428571428572
노원역,2022,2,29,139,0.20863309352517986
노원역,2022,3,30,145,0.20689655172413793
노원역,2022,4,30,151,0.1986754966887417
노원역,2023,1,32,163,0.19631901840490798
노원역,2023,2,8,52,0.15384615384615385
논현역,2022,1,14,86,0.16279069767441862
논현역,2022,2,17,83,0.20481927710843373
논현역,2022,3,16,85,0.18823529411764706
논현역,2022,4,24,86,0.27906976744186046
논현역,2023,1,24,87,0.27586206896551724
논현역,2023,2,8,28,0.2857142857142857
당산역,2022,1,2,16,0.125
당산역,2022,2,0,16,0.0
당산역,2022,3,1,19,0.05263157894736842
당산역,2022,4,0,21,0.0
당산역,2023,1,1,21,0.047619047619047616
당산역,2023,2,1,7,0.14285714285714285
대학로(혜화역),2022,1,15,120,0.125
대학로(혜화역),2022,2,23,120,0.19166666666666668
대학로(혜화역),2022,3,28,135,0.2074074074074074
대학로(혜화역),2022,4,27,137,0.19708029197080293
대학로(혜화역),2023,1,23,141,0.16312056737588654
대학로(혜화역),2023,2,6,47,0.1276595744680851
도화동 상점가,2022,1,5,36,0.1388888888888889
도화동 상점가,2022,2,4,36,0.1111111111111111
도화동 상점가,2022,3,3,40,0.075
도화동 상점가,2022,4,4,44,0.09090909090909091
도화동 상점가,2023,1,5,42,0.11904761904761904
도화동 상점가,2023,2,3,14,0.21428571428571427
둔촌역,2022,3,4,5,0.8
둔촌역,2022,4,3,19,0.15789473684210525
둔촌역,2023,1,6,20,0.3
둔촌역,2023,2,3,7,0.42857142857142855
등촌역,2022,1,4,19,0.21052631578947367
등촌역,2022,2,2,20,0.1
등촌역,2022,3,5,21,0.23809523809523808
등촌역,2022,4,5,21,0.23809523809523808
등촌역,2023,1,2,21,0.09523809523809523
등촌역,2023,2,2,7,0.2857142857142857
뚝섬역,2022,1,0,19,0.0
뚝섬역,2022,2,1,20,0.05
뚝섬역,2022,3,1,21,0.047619047619047616
뚝섬역,2022,4,2,20,0.1
뚝섬역,2023,1,0,18,0.0
뚝섬역,2023,2,0,6,0.0
로데오거리상점가,2022,1,4,21,0.19047619047619047
로데오거리상점가,2022,2,2,21,0.09523809523809523
로데오거리상점가,2022,3,2,21,0.09523809523809523
로데오거리상점가,2022,4,4,19,0.21052631578947367
로데오거리상점가,2023,1,2,15,0.13333333333333333
로데오거리상점가,2023,2,1,5,0.2
르네상스호텔사거리,2022,1,3,20,0.15
르네상스호텔사거리,2022,2,6,16,0.375
르네상스호텔사거리,2022,3,2,16,0.125
르네상스호텔사거리,2022,4,3,17,0.17647058823529413
르네상스호텔사거리,2023,1,5,15,0.3333333333333333
르네상스호텔사거리,2023,2,1,5,0.2
마곡역(마곡),2022,1,18,99,0.18181818181818182
마곡역(마곡),2022,2,21,108,0.19444444444444445
마곡역(마곡),2022,3,25,119,0.21008403361344538
마곡역(마곡),2022,4,30,124,0.24193548387096775
마곡역(마곡),2023,1,32,123,0.2601626016260163
마곡역(마곡),2023,2,12,38,0.3157894736842105
망리단길,2022,1,20,108,0.18518518518518517
망리단길,2022,2,24,118,0.2033898305084746
망리단길,2022,3,35,145,0.2413793103448276
망리단길,2022,4,27,143,0.1888111888111888
망리단길,2023,1,33,132,0.25
