trdar_nm,year,quarter,sum(is_risky),count(*),average(is_risky)
인사동,2022,2,6,21,0.2857142857142857
인사동,2022,3,3,22,0.13636363636363635
인사동,2022,4,7,23,0.30434782608695654
인사동,2023,1,5,21,0.23809523809523808
인사동,2023,2,2,7,0.2857142857142857
잠실새내역(신천),2022,1,27,158,0.17088607594936708
잠실새내역(신천),2022,2,38,163,0.2331288343558282
잠실새내역(신천),2022,3,36,181,0.19889502762430938
잠실새내역(신천),2022,4,31,187,0.1657754010695187
잠실새내역(신천),2023,1,31,183,0.16939890710382513
잠실새내역(신천),2023,2,11,60,0.18333333333333332
장안동사거리,2022,1,2,18,0.1111111111111111
장안동사거리,2022,2,2,20,0.1
장안동사거리,2022,3,3,21,0.14285714285714285
장안동사거리,2022,4,2,19,0.10526315789473684
장안동사거리,2023,1,0,5,0.0
장지역(가든파이브),2022,1,8,24,0.3333333333333333
장지역(가든파이브),2022,2,9,26,0.34615384615384615
장지역(가든파이브),2022,3,10,27,0.37037037037037035
장지역(가든파이브),2022,4,6,27,0.2222222222222222
장지역(가든파이브),2023,1,9,27,0.3333333333333333
장지역(가든파이브),2023,2,3,9,0.3333333333333333
장한평역(장한평),2022,1,3,18,0.16666666666666666
장한평역(장한평),2022,2,0,15,0.0
장한평역(장한평),2022,3,1,18,0.05555555555555555
장한평역(장한평),2022,4,1,18,0.05555555555555555
장한평역(장한평),2023,1,2,18,0.1111111111111111
장한평역(장한평),2023,2,1,6,0.16666666666666666
종각역,2022,1,0,10,0.0
종각역,2022,2,0,17,0.0
종각역,2022,3,2,20,0.1
종각역,2022,4,0,19,0.0
종각역,2023,1,2,18,0.1111111111111111
종각역,2023,2,0,6,0.0
종로3가역,2022,1,13,93,0.13978494623655913
종로3가역,2022,2,17,95,0.17894736842105263
종로3가역,2022,3,20,106,0.18867924528301888
종로3가역,2022,4,20,108,0.18518518518518517
종로3가역,2023,1,22,111,0.1981981981981982
종로3가역,2023,2,4,36,0.1111111111111111
천호역,2022,1,0,15,0.0
천호역,2022,2,0,15,0.0
천호역,2022,3,0,16,0.0
천호역,2022,4,1,18,0.05555555555555555
천호역,2023,1,0,19,0.0
천호역,2023,2,0,7,0.0
청담사거리(청담동명품거리),2022,1,15,57,0.2631578947368421
청담사거리(청담동명품거리),2022,2,17,52,0.3269230769230769
청담사거리(청담동명품거리),2022,3,20,54,0.37037037037037035
청담사거리(청담동명품거리),2022,4,21,52,0.40384615384615385
청담사거리(청담동명품거리),2023,1,15,51,0.29411764705882354
청담사거리(청담동명품거리),2023,2,5,17,0.29411764705882354
"총신대입구역(이수, 총신대)",2022,1,19,123,0.15447154471544716
"총신대입구역(이수, 총신대)",2022,2,22,120,0.18333333333333332
"총신대입구역(이수, 총신대)",2022,3,17,119,0.14285714285714285
"총신대입구역(이수, 총신대)",2022,4,14,120,0.11666666666666667
"총신대입구역(이수, 총신대)",2023,1,11,115,0.09565217391304348
"총신대입구역(이수, 총신대)",2023,2,5,35,0.14285714285714285
충무로역,2022,1,7,49,0.14285714285714285
충무로역,2022,2,8,53,0.1509433962264151
충무로역,2022,3,6,54,0.1111111111111111
충무로역,2022,4,13,54,0.24074074074074073
충무로역,2023,1,7,50,0.14
충무로역,2023,2,0,16,0.0
포스코사거리,2022,1,10,75,0.13333333333333333
포스코사거리,2022,2,12,81,0.14814814814814814
포스코사거리,2022,3,11,83,0.13253012048192772
포스코사거리,2022,4,10,86,0.11627906976744186
포스코사거리,2023,1,12,83,0.14457831325301204
포스코사거리,2023,2,4,28,0.14285714285714285
포이사거리(삼호물산),2022,1,1,21,0.047619047619047616
포이사거리(삼호물산),2022,2,3,21,0.14285714285714285
포이사거리(삼호물산),2022,3,2,23,0.08695652173913043
포이사거리(삼호물산),2022,4,2,21,0.09523809523809523
포이사거리(삼호물산),2023,1,2,21,0.09523809523809523
포이사거리(삼호물산),2023,2,1,8,0.125
학동사거리,2022,1,11,84,0.13095238095238096
학동사거리,2022,2,26,90,0.28888888888888886
학동사거리,2022,3,22,90,0.24444444444444444
학동사거리,2022,4,23,90,0.25555555555555554
학동사거리,2023,1,22,90,0.24444444444444444
학동사거리,2023,2,10,29,0.3448275862068966
학동역,2022,1,3,18,0.16666666666666666
학동역,2022,2,5,19,0.2631578947368421
학동역,2022,3,6,21,0.2857142857142857
학동역,2022,4,7,21,0.3333333333333333
학동역,2023,1,6,21,0.2857142857142857
학동역,2023,2,4,7,0.5714285714285714
합정역,2022,1,5,40,0.125
합정역,2022,2,3,42,0.07142857142857142
합정역,2022,3,4,39,0.10256410256410256
합정역,2022,4,5,39,0.1282051282051282
합정역,2023,1,5,39,0.1282051282051282
합정역,2023,2,2,13,0.15384615384615385
해방촌 남동측,2022,1,2,19,0.10526315789473684
해방촌 남동측,2022,2,2,24,0.08333333333333333
해방촌 남동측,2022,3,4,24,0.16666666666666666
해방촌 남동측,2022,4,6,24,0.25
해방촌 남동측,2023,1,5,24,0.20833333333333334
해방촌 남동측,2023,2,2,7,0.2857142857142857
홍대 걷고싶은 거리,2022,1,3,21,0.14285714285714285
홍대 걷고싶은 거리,2022,2,5,21,0.23809523809523808
홍대 걷고싶은 거리,2022,3,4,20,0.2
홍대 걷고싶은 거리,2022,4,3,18,0.16666666666666666
홍대 걷고싶은 거리,2023,1,5,15,0.3333333333333333
홍대 걷고싶은 거리,2023,2,1,5,0.2
홍대입구역 3번,2022,2,2,16,0.125
홍대입구역 3번,2022,3,4,21,0.19047619047619047
홍대입구역 3번,2022,4,4,19,0.21052631578947367
홍대입구역 3번,2023,1,4,18,0.2222222222222222
홍대입구역 3번,2023,2,0,6,0.0
홍대입구역(홍대),2022,1,83,443,0.1873589164785553
홍대입구역(홍대),2022,2,85,432,0.19675925925925927
홍대입구역(홍대),2022,3,77,454,0.1696035242290749
홍대입구역(홍대),2022,4,90,475,0.18947368421052632
홍대입구역(홍대),2023,1,86,477,0.18029350104821804
홍대입구역(홍대),2023,2,25,155,0.16129032258064516
화곡역,2022,1,3,18,0.16666666666666666
화곡역,2022,2,9,19,0.47368421052631576
화곡역,2022,3,8,21,0.38095238095238093
화곡역,2022,4,8,21,0.38095238095238093
화곡역,2023,1,9,20,0.45
화곡역,2023,2,2,6,0.3333333333333333
